iter	Passed	Remaining
580	4138	2984
581	4145	2977
582	4151	2969
583	4157	2961
584	4164	2954
585	4170	2946
586	4177	2938
587	4183	2931
588	4189	2923
589	4196	2915
590	4202	2908
591	4208	2900
592	4215	2893
593	4221	2885
594	4228	2878
595	4234	2870
596	4240	2862
597	4246	2854
598	4252	2847
599	4258	2839
600	4265	2831
601	4271	2823
602	4277	2816
603	4284	2808
604	4290	2801
605	4297	2793
606	4303	2786
607	4308	2778
608	4315	2770
609	4321	2763
610	4327	2755
611	4334	2747
612	4341	2740
613	4348	2733
614	4356	2727
615	4363	2719
616	4370	2713
617	4378	2706
618	4387	2700
619	4396	2694
620	4404	2688
621	4412	2681
622	4421	2675
623	4428	2668
624	4436	2661
625	4443	2654
626	4450	2647
627	4456	2640
628	4463	2632
629	4471	2625
630	4478	2619
631	4485	2611
632	4492	2604
633	4499	2597
634	4507	2590
635	4516	2584
636	4523	2578
637	4531	2571
638	4539	2564
639	4546	2557
640	4553	2550
641	4560	2542
642	4566	2535
643	4573	2528
644	4580	2521
645	4587	2513
646	4593	2506
647	4600	2499
648	4607	2491
649	4614	2484
650	4621	2477
651	4629	2471
652	4636	2463
653	4643	2456
654	4650	2449
655	4656	2441
656	4663	2434
657	4670	2427
658	4677	2420
659	4684	2413
660	4691	2405
661	4697	2398
662	4704	2391
663	4711	2384
664	4717	2376
665	4724	2369
666	4730	2361
667	4736	2354
668	4743	2347
669	4751	2340
670	4759	2333
671	4767	2326
672	4774	2319
673	4782	2313
674	4790	2306
675	4799	2300
676	4807	2293
677	4815	2286
678	4822	2279
679	4829	2272
680	4836	2265
681	4843	2258
682	4849	2250
683	4855	2243
684	4862	2235
685	4868	2228
686	4875	2221
687	4880	2213
688	4886	2205
689	4893	2198
690	4900	2191
691	4906	2183
692	4914	2177
693	4922	2170
694	4929	2163
695	4936	2156
696	4942	2148
697	4949	2141
698	4954	2133
699	4961	2126
700	4967	2118
701	4974	2111
702	4980	2104
703	4987	2097
704	4995	2090
705	5001	2082
706	5007	2075
707	5014	2067
708	5020	2060
709	5027	2053
710	5033	2046
711	5041	2039
712	5048	2031
713	5054	2024
714	5059	2016
715	5065	2009
716	5071	2001
717	5076	1994
718	5083	1986
719	5089	1979
720	5094	1971
721	5100	1963
722	5105	1955
723	5109	1948
724	5115	1940
725	5120	1932
726	5126	1924
727	5131	1917
728	5136	1909
729	5142	1902
730	5147	1894
731	5153	1886
732	5158	1878
733	5163	1871
734	5169	1863
735	5174	1856
736	5179	1848
737	5185	1840
738	5190	1833
739	5196	1825
740	5202	1818
741	5208	1810
742	5214	1803
743	5220	1796
744	5225	1788
745	5232	1781
746	5237	1773
747	5243	1766
748	5249	1759
749	5255	1751
750	5262	1744
751	5269	1737
752	5277	1731
753	5284	1723
754	5289	1716
755	5295	1709
756	5301	1701
757	5309	1695
758	5317	1688
759	5323	1681
760	5329	1673
761	5335	1666
762	5341	1659
763	5347	1651
764	5352	1644
765	5358	1636
766	5364	1629
767	5369	1622
768	5375	1614
769	5381	1607
770	5386	1599
771	5392	1592
772	5398	1585
773	5404	1577
774	5410	1570
775	5417	1563
776	5423	1556
777	5430	1549
778	5437	1542
779	5444	1535
780	5452	1528
781	5459	1521
782	5466	1515
783	5473	1508
784	5481	1501
785	5488	1494
786	5493	1486
787	5499	1479
788	5504	1472
789	5509	1464
790	5516	1457
791	5521	1450
792	5526	1442
793	5532	1435
794	5537	1427
795	5542	1420
796	5548	1413
797	5553	1405
798	5559	1398
799	5565	1391
800	5570	1383
801	5575	1376
802	5580	1369
803	5586	1361
804	5591	1354
805	5597	1347
806	5603	1340
807	5609	1333
808	5615	1325
809	5621	1318
810	5626	1311
811	5632	1304
812	5638	1297
813	5645	1289
814	5651	1282
815	5658	1275
816	5664	1268
817	5671	1261
818	5679	1255
819	5686	1248
820	5693	1241
821	5700	1234
822	5709	1227
823	5716	1220
824	5723	1214
825	5730	1207
826	5737	1200
827	5743	1193
828	5749	1185
829	5756	1178
830	5762	1171
831	5768	1164
832	5774	1157
833	5779	1150
834	5786	1143
835	5792	1136
836	5798	1129
837	5804	1122
838	5810	1115
839	5816	1107
840	5822	1100
841	5828	1093
842	5835	1086
843	5841	1079
844	5848	1072
845	5853	1065
846	5859	1058
847	5865	1051
848	5870	1044
849	5875	1036
850	5881	1029
851	5887	1022
852	5892	1015
853	5899	1008
854	5905	1001
855	5910	994
856	5916	987
857	5922	980
858	5928	973
859	5934	966
860	5940	959
861	5946	952
862	5952	945
863	5958	937
864	5964	930
865	5969	923
866	5975	916
867	5981	909
868	5987	902
869	5992	895
870	5998	888
871	6004	881
872	6009	874
873	6015	867
874	6020	860
875	6026	853
876	6032	845
877	6037	838
878	6043	831
879	6049	824
880	6055	817
881	6061	810
882	6067	803
883	6073	796
884	6079	789
885	6085	782
886	6091	776
887	6097	769
888	6103	762
889	6110	755
890	6116	748
891	6122	741
892	6129	734
893	6134	727
894	6141	720
895	6146	713
896	6152	706
897	6158	699
898	6163	692
899	6169	685
900	6174	678
901	6180	671
902	6186	664
903	6192	657
904	6198	650
905	6204	643
906	6208	636
907	6213	629
908	6220	622
909	6226	615
910	6233	609
911	6240	602
912	6247	595
913	6255	588
914	6263	581
915	6270	575
916	6277	568
917	6284	561
918	6291	554
919	6297	547
920	6304	540
921	6310	533
922	6316	526
923	6322	520
924	6328	513
925	6334	506
926	6340	499
927	6347	492
928	6353	485
929	6360	478
930	6367	471
931	6374	465
932	6382	458
933	6389	451
934	6397	444
935	6404	437
936	6413	431
937	6420	424
938	6427	417
939	6434	410
940	6441	403
941	6448	397
942	6455	390
943	6461	383
944	6468	376
945	6475	369
946	6481	362
947	6488	355
948	6495	349
949	6501	342
950	6508	335
951	6515	328
952	6522	321
953	6528	314
954	6535	307
955	6541	301
956	6548	294
957	6556	287
958	6564	280
959	6572	273
960	6579	267
961	6587	260
962	6594	253
963	6601	246
964	6607	239
965	6613	232
966	6619	225
967	6624	219
968	6631	212
969	6637	205
970	6644	198
971	6650	191
972	6656	184
973	6662	177
974	6669	171
975	6675	164
976	6681	157
977	6687	150
978	6693	143
979	6700	136
980	6705	129
981	6712	123
982	6718	116
983	6723	109
984	6729	102
985	6734	95
986	6739	88
987	6745	81
988	6750	75
989	6756	68
990	6762	61
991	6767	54
992	6773	47
993	6779	40
994	6786	34
995	6792	27
996	6798	20
997	6803	13
998	6810	6
999	6816	0
